Company_Code,Company_Name,Master_ESG_Score,Risk_Level,Score_Explanation,Strengths,Strengths_Count,Weaknesses,Weaknesses_Count,Recommendations,Recommendations_Count,Comparative_Insight,Analysis_Date
AFFLE,Affle India,6.859625,Medium,"Affle India has an overall ESG score of 6.86/10, indicating Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (4.0/10). Cross-validation consistency is 8.0/10. Detected 1 contradiction(s), highest severity Medium. Data quality confidence is 3.1/10. External benchmark proxy score is 4.5/10. Project vs benchmark rank deviation is 17, suggesting further review. ",Positive media coverage and reputation | Strong board independence (56%),2,Poor air quality at some office locations | Cross-validation contradictions detected (severity: Medium) | Low data quality confidence for scoring inputs,3,Implement air quality improvement measures at affected locations | Resolve contradiction flags by reconciling BRSR claims with external performance data | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,5,Ranks #4 out of 50 IT companies analyzed (94th percentile). Performs 0.7 points above industry average. Most similar ESG profile to Tech Mahindra (score: 6.81). Project rank is 4 vs benchmark rank 21.,2026-09-03
MPSLTD,MPS,,High,"MPS has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 2.8/10. External benchmark proxy score is 4.2/10. Project vs benchmark rank deviation is 12, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,2,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #39 out of 50 IT companies analyzed (24th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 39 vs benchmark rank 27.,2026-09-03
SUBEXLTD,Subex,,High,"Subex has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.1/10. External benchmark proxy score is 4.3/10. Project vs benchmark rank deviation is 16, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,2,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #40 out of 50 IT companies analyzed (22th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 40 vs benchmark rank 24.,2026-09-03
SIS,Security and Intelligence Services,,High,"Security and Intelligence Services has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.4/10. External benchmark proxy score is 4.4/10. Project vs benchmark rank deviation is 18, suggesting further review. ",Positive media coverage and reputation,1,Low data quality confidence for scoring inputs,1,Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,3,Ranks #41 out of 50 IT companies analyzed (20th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 41 vs benchmark rank 23.,2026-09-03
ZOMATO,Eternal (formerly Zomato),,High,"Eternal (formerly Zomato) has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 2.5/10. External benchmark proxy score is 4.2/10. Project vs benchmark rank deviation is 11, suggesting further review. ",High renewable energy usage (100%) | Positive media coverage and reputation,2,Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,2,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #42 out of 50 IT companies analyzed (18th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 42 vs benchmark rank 31.,2026-09-03
PAYTM,One 97 Communications,,High,"One 97 Communications has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 1.9/10. External benchmark proxy score is 4.0/10. Project vs benchmark rank deviation is 7, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #43 out of 50 IT companies analyzed (16th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 43 vs benchmark rank 36.,2026-09-03
POLICYBZR,PB Fintech,,High,"PB Fintech has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 1.9/10. External benchmark proxy score is 3.7/10. Project vs benchmark rank deviation is 3, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #44 out of 50 IT companies analyzed (14th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 44 vs benchmark rank 41.,2026-09-03
DELHIVERY,Delhivery,,High,"Delhivery has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 4.4/10. External benchmark proxy score is 4.8/10. Project vs benchmark rank deviation is 31, suggesting further review. ",Positive media coverage and reputation,1,Low data quality confidence for scoring inputs,1,Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,3,Ranks #45 out of 50 IT companies analyzed (12th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 45 vs benchmark rank 14.,2026-09-03
NAZARA,Nazara Technologies,6.994666666666667,Medium,"Nazara Technologies has an overall ESG score of 6.99/10, indicating Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (4.0/10). Cross-validation consistency is 8.0/10. Detected 1 contradiction(s), highest severity Medium. Data quality confidence is 4.0/10. External benchmark proxy score is 4.7/10. Project vs benchmark rank deviation is 16, suggesting further review. ",Positive media coverage and reputation | Strong board independence (100%),2,Poor air quality at some office locations | Cross-validation contradictions detected (severity: Medium) | Low data quality confidence for scoring inputs,3,Implement air quality improvement measures at affected locations | Resolve contradiction flags by reconciling BRSR claims with external performance data | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,5,Ranks #2 out of 50 IT companies analyzed (98th percentile). Performs 0.8 points above industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 2 vs benchmark rank 18.,2026-09-03
TATACOMM,Tata Communications,6.021916666666667,Medium,"Tata Communications has an overall ESG score of 6.02/10, indicating Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (2.5/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.1/10. External benchmark proxy score is 4.3/10. Project vs benchmark rank deviation is 11, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,4,Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,5,Ranks #15 out of 50 IT companies analyzed (72th percentile). Performs in line with industry average. Most similar ESG profile to Oracle Financial Services Software (score: 6.11). Project rank is 15 vs benchmark rank 26.,2026-09-03
INDUSTOWER,Indus Towers,,High,"Indus Towers has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 2.2/10. External benchmark proxy score is 4.2/10. Project vs benchmark rank deviation is 16, suggesting further review. ",Positive media coverage and reputation,1,Inadequate board independence (1%) | Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,4,Appoint more independent directors to strengthen board governance | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,5,Ranks #46 out of 50 IT companies analyzed (10th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 46 vs benchmark rank 30.,2026-09-03
BHARTIARTL,Bharti Airtel,,High,"Bharti Airtel has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 5.1/10. External benchmark proxy score is 7.6/10. Project vs benchmark rank deviation is 46, suggesting further review. ",Positive media coverage and reputation,1,No major weaknesses identified,1,Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,2,Ranks #47 out of 50 IT companies analyzed (8th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 47 vs benchmark rank 1.,2026-09-03
TEJASNET,Tejas Networks,,High,"Tejas Networks has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.8/10. External benchmark proxy score is 4.7/10. Project vs benchmark rank deviation is 31, suggesting further review. ",Positive media coverage and reputation,1,Low data quality confidence for scoring inputs,1,Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,3,Ranks #48 out of 50 IT companies analyzed (6th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 48 vs benchmark rank 17.,2026-09-03
REDINGTON,Redington,6.323249999999999,Medium,"Redington has an overall ESG score of 6.32/10, indicating Medium ESG risk. The company performs strongest in Social (7.0/10) and weakest in Environmental (5.7/10). Cross-validation consistency is 7.0/10. Detected 1 contradiction(s), highest severity High. Data quality confidence is 5.9/10. External benchmark proxy score is 5.2/10. Project vs benchmark rank deviation is 2, suggesting further review. ",High renewable energy usage (90%) | Positive media coverage and reputation | High transparency in ESG reporting,3,Poor air quality at some office locations | Insufficient employee training (8 hours per employee) | Cross-validation contradictions detected (severity: High),3,Implement air quality improvement measures at affected locations | Expand employee training and development programs | Resolve contradiction flags by reconciling BRSR claims with external performance data | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,5,Ranks #10 out of 50 IT companies analyzed (82th percentile). Performs in line with industry average. Most similar ESG profile to Happiest Minds Technologies (score: 6.32). Project rank is 10 vs benchmark rank 8.,2026-09-03
HCL-INFO,HCL Infosystems,,High,"HCL Infosystems has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 0.0/10. External benchmark proxy score is 3.0/10. Project ranking is closely aligned with benchmark ranking. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Maintain current ESG excellence and share best practices,3,Ranks #49 out of 50 IT companies analyzed (4th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 49 vs benchmark rank 50.,2026-09-03
MAZDOCK,Mazagon Dock Shipbuilders,5.732916666666666,Medium-High,"Mazagon Dock Shipbuilders has an overall ESG score of 5.73/10, indicating Medium-High ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (3.3/10). Cross-validation consistency is 8.0/10. Detected 1 contradiction(s), highest severity Medium. Data quality confidence is 2.2/10. External benchmark proxy score is 4.2/10. Project vs benchmark rank deviation is 12, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Low transparency in ESG disclosure | Potential greenwashing concerns | Cross-validation contradictions detected (severity: Medium) | Low data quality confidence for scoring inputs,5,Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Resolve contradiction flags by reconciling BRSR claims with external performance data | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences,5,Ranks #17 out of 50 IT companies analyzed (68th percentile). Performs in line with industry average. Most similar ESG profile to L&T Technology Services (score: 5.85). Project rank is 17 vs benchmark rank 29.,2026-09-03
TITAN,Titan Company,,High,"Titan Company has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.9/10. External benchmark proxy score is 7.1/10. Project vs benchmark rank deviation is 47, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #50 out of 50 IT companies analyzed (2th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 50 vs benchmark rank 3.,2026-09-03
